BHK,Type,Location,Price,Sqft,Status,Deposit,Availability,Bathrooms,Facing
2,Independent House,AS Rao Nagar,"18,500",1700,Semi-Furnished,No Deposit,NA,3,NA
2,Independent House,AS Rao Nagar,"18,500",1700,Semi-Furnished,No Deposit,NA,3,NA
1,Independent House,LB Nagar,"8,500",250,Semi-Furnished,No Deposit,NA,1,NA
1,Independent House,Begumpet,"30,000",1200,Semi-Furnished,No Deposit,NA,2,NA
1,Independent House,Gurram Guda,"10,700",1200,Unfurnished,No Deposit,NA,2,NA
1,Independent House,LB Nagar,"8,500",250,Semi-Furnished,No Deposit,NA,1,NA
2,Independent House,Gajularamaram,"9,000",1080,Unfurnished,No Deposit,NA,2,NA
2,Independent House,Vanasthalipuram,"14,000",1300,Semi-Furnished,No Deposit,NA,2,East facing
2,Independent House,Budvel,"9,000",800,Unfurnished,No Deposit,NA,2,NA
5,Independent House,Banjara Hills,4,6300,Furnished,No Deposit,NA,5,NA
,,Boduppal,"8,000",800,Unfurnished,No Deposit,NA,1,NA
,,Boduppal,"8,000",800,Unfurnished,No Deposit,NA,1,NA
,,Boduppal,"8,000",800,Unfurnished,No Deposit,NA,1,NA
,,Hafeezpet,"13,500",800,Semi-Furnished,No Deposit,NA,1,NA
